Title,Company,Skills,Location,Salary,Total_Hours,Link
برنامه نویس Net Core.,چیتا پست,,خراسان رضوی,20-30,0:00:00,https://www.e-estekhdam.com/k9opnn-استخدام-برنامه-نویس-net-core-با-حقوق-تا-۳۰-میل
Angular Developer,برنامه نویسان پیشروی نوین توس,Angular | TypeScript,خراسان رضوی,20-25,45:00:00,https://www.e-estekhdam.com/kdblb7-استخدام-angular-developer-در-برنامه-نویسان-پیشروی-ن
برنامه نویس ASP.NET Full Stack,توسعه داده پردازان رسام آریا,ASP.NET | MSQL | Angular,خراسان رضوی,20-,46:40:00,https://www.e-estekhdam.com/kqe3g3-استخدام-برنامه-نویس-asp-net-full-stack-در-مشهد
برنامه نویس ASP.NET Full Stack,توسعه داده پردازان رسام آریا,ASP.NET | MSQL | Angular,خراسان رضوی,20-,46:40:00,https://www.e-estekhdam.com/kefbyf-استخدام-برنامه-نویس-asp-net-full-stack-با-حقوق-بالای-20
کارشناس Flutter,چیتا پست,,خراسان رضوی,15-20,46:15:00,https://www.e-estekhdam.com/kps94e-استخدام-کارشناس-flutter-با-حقوق-تا-۲۰-میلیون
برنامه نویس Net Core.,چیتا پست,,خراسان رضوی,15-20,45:00:00,https://www.e-estekhdam.com/kgsx96-استخدام-برنامه-نویس-net-core-با-حقوق-تا-۲۰-میل
Laravel Developer حرفه ای,آرمان توسعه ساینا,,خراسان رضوی,15-20,0:00:00,https://www.e-estekhdam.com/kidwhd-استخدام-laravel-developer-حرفه-ای-در-آرمان-توسعه-سای
برنامه نویس PHP,یک شرکت معتبر,PHP,خراسان رضوی,12-19,42:00:00,https://www.e-estekhdam.com/kb4h68-استخدام-برنامه-نویس-php-مسلط-به-وردپرس-در
Front End Developer,آماتیس داده پرداز مهر ایرانیان,,خراسان رضوی,15-,8:00:00,https://www.e-estekhdam.com/kxff7k-استخدام-front-end-developer-در-آماتیس-داده-پرداز-مهر-ا
React.js Developer,آرمان توسعه ساینا,React.js | React Native | Redis,خراسان رضوی,8-15,50:00:00,https://www.e-estekhdam.com/k8peub-استخدام-react-js-developer-در-آرمان-توسعه-ساینا-در-مش
پشتیبان فنی شبکه,رسیس پردازش پارس,,خراسان رضوی,10-12,0:00:00,https://www.e-estekhdam.com/ki5zch-استخدام-پشتیبان-فنی-شبکه-با-حقوق-تا-۱۲
کارشناس پشتیبان نرم‌ افزار,مشاور نرم افزار محک,,خراسان رضوی,10-12,0:00:00,https://www.e-estekhdam.com/keivew-استخدام-کارشناس-پشتیبان-نرم‌-افزار-د
برنامه نویس Front End,رسپینا24,HTML | CSS | Nuxt.js,خراسان رضوی,10-12,0:00:00,https://www.e-estekhdam.com/k313ms-استخدام-برنامه-نویس-front-end-با-حقوق-تا-12-میلی
متخصص سئو,برودتی نوری,,خراسان رضوی,10-,0:00:00,https://www.e-estekhdam.com/k0a8y2-استخدام-متخصص-سئو-در-برودتی-نوری-در-خر
برنامه نویس Django,گروه نرم افزاری ویکی کیو,Django | Python,خراسان رضوی,10-,36:00:00,https://www.e-estekhdam.com/kixak1-استخدام-برنامه-نویس-django-در-گروه-نرم-افزا
برنامه نویس Node Js,یک شرکت معتبر,Node.js,خراسان رضوی,10-,0:00:00,https://www.e-estekhdam.com/ketoaw-استخدام-برنامه-نویس-node-js-در-مشهد
Wordpress Developer,موسسه‌ آموزشی علم و انگیزه,WordPress | WooCommerce | JavaScript,خراسان رضوی,8-5,0:00:00,https://www.e-estekhdam.com/k1nc9y-استخدام-wordpress-developer-در-موسسه‌-آموزشی-علم-و-ان
پشتیبان نرم افزار,نرم افزاری آریا,,خراسان رضوی,7-,3:00:00,https://www.e-estekhdam.com/k1jn6j-استخدام-پشتیبان-نرم-افزار-در-نرم-افزا
Wordpress Developer,فرامنطقه,WordPress | PHP,خراسان رضوی,4-5,0:00:00,https://www.e-estekhdam.com/k0qh4m-استخدام-wordpress-developer-در-فرامنطقه-در-مشهد
توسعه‌دهنده Nest.js,آرمان توسعه ساینا,,خراسان رضوی,,0:00:00,https://www.e-estekhdam.com/k9k4ug-استخدام-توسعه‌دهنده-nest-js-در-آرمان-توسعه

